name,origin,style,since
Demented Are Go+ACE-,,,
Der Weg einer Freiheit,,,
Despise You,,,
Destinity,,,
Destr?yer 666,,,
Destruction,,,
Desultory,,,
DevilDriver,,,
Devin Townsend Project,,,
Dew+AC0-Scented,,,
Dimmu Borgir,,,
Dirty Fonzy,,,
Dirty Rotten Imbeciles,,,
Discharge,,,
Discipline,,,
Disfear,,,
Disturbed,,,
Djerv ,,,
Do Or Die,,,
Doctor Livingstone,,,
D?dheimsgard,,,
Dog Eat Dog,,,
Doom,,,
Doomriders ,,,
Dordeduh,,,
Dornfall,,,
Doro,,,
Down,,,
Downfall of Gaia,,,
Doyle Airence,,,
Dozer,,,
DragonForce,,,
Dream Theater,,,
Dropkick Murphys,,,
Drowned,,,
Drowning,,,
Duff McKagan's Loaded,,,
Dust Bolt,,,
Dwarves,,,
Dying Fetus,,,
Dylath+AC0-Leen,,,
D?se,,,
Eagle Twin,,,
Earth,,,
Earth Crisis,,,
Edguy,,,
Elder,,,
Electric Mary,,,
Electric Wizard,,,
Ellipsis,,,
Eluveitie,,,
Emmure,,,
Emperor,,,
Empyrium,,,
Endstand ,,,
Endstille,,,
Ensiferum,,,
Enslaved,,,
Enthroned,,,
Entombed,,,
Entombed A.D.,,,
Entrails,,,
Envy,,,
Ephel Duath,,,
Epica,,,
Equilibrium,,,
Eryn Non Dae,,,
Eths,,,
Europe,,,
Evile,,,
Evoken ,,,
Ex Deo,,,
Exhumed,,,
Exodus,,,
Extinction of Mankind ,,,
Extreme,,,
Eyehategod,,,
Faith No More,,,
Fallujah,,,
Fear Factory,,,
Fields of the Nephilim,,,
Finntroll,,,
Firewind,,,
First Blood,,,
Five Finger Death Punch,,,
Fleshgod Apocalypse,,,
Flogging Molly,,,
Forbidden,,,
Foreigner,,,
Forgotten Tomb,,,
Freak Kitchen,,,
From Ashes Rise,,,
Fu Manchu,,,
Fubar,,,
Fueled By Fire,,,
Furia,,,
Gadget,,,
Gallows,,,
Gama Bomb,,,
Gamma Ray,,,
Gbh,,,
Gehenna,,,
General Surgery ,,,
Ghost,,,
Ghost Brigade,,,
Ghost Brigade ,,,
Girlschool,,,
Glenn Hughes,,,
Glorior Belli,,,
Glowsun,,,
Go It Alone,,,
Goatsnake,,,
God Forbid,,,
God Seed,,,
Godflesh,,,
Godsmack,,,
Gojira,,,
Gorgoroth,,,
Gorguts,,,
Gorod,,,
Gotthard,,,
Grand Magus,,,
Grave,,,
Grave Pleasures (Beastmilk),,,
Graveyard,,,
Guida,,,
Guns N' Roses,,,
Gutterd?mmerung,,,
Gutworm ,,,
H2O,,,
Hacride,,,
Haemorrhage,,,
Hail of Bullets,,,
Haken,,,
Halestorm,,,
Hamlet,,,
HammerFall,,,
Hangman's Chair,,,
Hank 3,,,
Happyface,,,
Hardcore Superstar,,,
Hark,,,
Harm's Way,,,
Hate,,,
Hatebreed,,,
Hatesphere,,,
Havok,,,
Hawk Eye,,,
Hawkwind,,,
Headcharger,,,
Heathen,,,
Heaven and Hell,,,
Heaven Shall Burn,,,
Heavenly,,,
Heaven's Basement ,,,
Hegemon,,,
Heidevolk,,,
Hell Militia,,,
Hellmotel,,,
Helloween,,,
Hellyeah,,,
Hemoragy,,,
Herder,,,
Hermano,,,
High on Fire,,,
Hollywood Undead,,,
Holyhell ,,,
Homestell,,,
Hooded Menace,,,
Hoods,,,
Hour of Penance ,,,
House of the Broken Promises,,,
Hypno5e,,,
Hypocrisy,,,
Iced Earth,,,
Iggy and the Stooges,,,
Ignite,,,
Ihsahn,,,
Immolation,,,
Immortal,,,
Impaled Nazarene,,,
Impiety,,,
Imply in All,,,
Impureza,,,
In Extremo,,,
In Flames,,,
In Solitude,,,
Incantation,,,
Infectious Grooves,,,
Infestus,,,
Inquisition,,,
Insomnium,,,
Integrity,,,
Interlock ,,,
Iron Maiden,,,
Iron Reagan,,,
Jambinai,,,
Jane's Addiction,,,
Jarboe ,,,
Jello Biafra and the Guantanamo School of Medicine,,,
Job for a Cowboy,,,
Joe Satriani,,,
John Garcia plays Kyuss,,,
Judas Priest,,,
Justin(e),,,
Kadavar,,,
Kaizen,,,
Kalisia,,,
Kampfar,,,
Karma to Burn,,,
Kataklysm,,,
Katatonia,,,
Keep of Kalessin,,,
KEN mode ,,,
Khold,,,
Kickback,,,
Killers,,,
Killing Joke,,,
Killswitch Engage,,,
King Diamond,,,
King Dude,,,
Kiss,,,
Kissin' Dynamite,,,
Klone,,,
KMFDM,,,
Knuckledust,,,
Knuckledust ,,,
Knut,,,
Kobra and the Lotus,,,
Koldbrann,,,
Koritni,,,
Korn,,,
Korpiklaani,,,
Kreator,,,
Krisiun,,,
Krokus,,,
Kronos,,,
Kruger,,,
Kvelertak,,,
Kylesa,,,
Kyuss Lives +ACE-,,,
L7,,,
Lamb of God,,,
Last Days of Humanity,,,
Last Resort,,,
Lasting Values,,,
Le Bal des Enrag?s,,,
Lecherous Gaze,,,
Leeway ,,,
Legion of the Damned,,,
Leng Tch'e,,,
Leprous,,,
Les Sales Majest?s,,,
L'Esprit du clan,,,
Lez Zeppelin,,,
Life of Agony,,,
Limp Bizkit,,,
Lion's Law,,,
Liturgy ,,,
Lizzy Borden,,,
Lock Up,,,
Locus,,,
Lofofora,,,
Lordi,,,
Lost Society,,,
Loudblast,,,
Loudness,,,
Lowrider,,,
Ludwig von 88,,,
Lynyrd Skynyrd,,,
Lyzanxia,,,
M.O.D.,,,
Machete,,,
Machine Head,,,
Mad Sin,,,
Madball,,,
Magma,,,
Magrudergrind ,,,
Malevolent Creation,,,
Manigance,,,
Manilla Road,,,
Manowar,,,
Mantar,,,
Marduk,,,
Marilyn Manson,,,
Mars Red Sky,,,
Mass Hysteria,,,
Mastodon,,,
Maximum the Hormone,,,
Mayhem,,,
Megadeth,,,
Mekong Delta,,,
Melechesh,,,
Melvins,,,
Merauder,,,
Mercyless,,,
Merrimack,,,
Meshuggah,,,
Mg?a,,,
Midnight Ghost Train,,,
Millencolin,,,
Ministry,,,
Misanthrope,,,
Misconduct,,,
Misery Index,,,
Misfits,,,
Miss May I,,,
Mistaken Element,,,
Moho,,,
Molly Hatchet,,,
Monarch+ACE-,,,
Mondo Generator,,,
Monkey 3,,,
Monolord,,,
Monster Magnet,,,
Monstrosity,,,
Moonreich,,,
Moonsorrow,,,
Moonspell,,,
Morbid Angel,,,
Morgoth,,,
Morne,,,
Mos Generator,,,
Most Precious Blood,,,
Motionless in White,,,
M?tley Cr?e,,,
Mot?rhead,,,
Mr. Big,,,
Mumakil,,,
Municipal Waste,,,
Murdum,,,
Mustasch,,,
M?tiilation,,,
My Dying Bride,,,
My Sleeping Karma,,,
Myrkur,,,
Napalm Death,,,
Nashville Pussy,,,
Nasty,,,
Nasum,,,
Ne Obliviscaris,,,
Necroblood,,,
Necrophagia,,,
Necrophagist,,,
Necros Christos,,,
Necrowretch,,,
Nefarium,,,
Negative Approach,,,
Negur? Bunget,,,
Neurosis,,,
Nevermore,,,
Newsted,,,
Nidingr,,,
Nightmare,,,
Nightwish,,,
Nigthmare,,,
Nile,,,
No One is Innocent,,,
No Return,,,
Nocturnus AD,,,
NOFX,,,
Nuclear Assault,,,
Obituary,,,
Obliteration,,,
Obscura,,,
October File,,,
Of Mice and Men,,,
Off+ACE-,,,
Omega Massif,,,
Onslaught,,,
Opeth,,,
Orange Goblin,,,
Oranssi Pazuzu,,,
Orchid,,,
Origin,,,
Orphaned Land,,,
Orthodox,,,
Otargos,,,
Overkill,,,
Ozzy Osbourne,,,
P.O.D.,,,
Pain,,,
Pain of Salvation,,,
Pallbearer,,,
Panik / Guns Up,,,
Papa Roach,,,
Paradise Lost,,,
Parkway Drive,,,
Pentagram,,,
Pestilence,,,
Peter and the Test Tube Babies,,,
Phil Anselmo And The Illegals,,,
Pig Destroyer,,,
Porcupine Tree,,,
Possessed,,,
Power Trip,,,
Powerman 5000,,,
Powerwolf,,,
Pretty Maids,,,
Primal Age,,,
Primal Fear,,,
Primordial,,,
Procession,,,
Prong,,,
Pro+AC0-Pain,,,
Prostitute Disfigurement,,,
Protest the Hero,,,
Providence,,,
Punish Yourself,,,
Puscifer,,,
Queensr?che,,,
Raintime,,,
Raised Fist,,,
Ramesses,,,
Rammstein,,,
Ramoneurs de Menhirs,,,
Ratos de Por?o,,,
Raven,,,
RavenEye,,,
Raw Power,,,
Red Fang,,,
Red Mourning (Concours Hard Rock),,,
Refused,,,
Regarde les hommes tomber,,,
Repulsion,,,
Retox,,,
Ringworm,,,
Rise And Fall,,,
Rise of the Northstar,,,
Rival Sons,,,
Riverside,,,
Rob Zombie,,,
Rompeprop,,,
Rose Tattoo,,,
Rotten Sound,,,
Rotting Christ,,,
Royal Thunder,,,
Ruins of Beverast,,,
Russian Circles,,,
Rwake ,,,
S.U.P.,,,
Sabaton,,,
Sacred Reich,,,
Sadist,,,
Saint Vitus,,,
Salem,,,
Samael,,,
Samsara Blues Experiment,,,
Satan,,,
Satan Jokers,,,
Satan's Satyrs,,,
Satyricon,,,
Saviours ,,,
Saxon,,,
Scarve,,,
Schirenc plays Pungent Stench,,,
